Repository,CBO,DIT,LCOM,Code Lines,Comment Lines,CreatedAt,UpdatedAt,PrimaryLanguage,Releases,PullRequests,Open Issues,Closed Issues,LastRelease,Stars
selenium,5,1,32,822876,284513,2013-01-14 21:40:56 +0000 UTC,2022-09-13 14:43:33 +0000 UTC,Java,76,1062,80,8263,No Releases,24556
SpringAll,5,1,3,20047,1837,2018-05-02 02:48:44 +0000 UTC,2022-09-13 15:18:59 +0000 UTC,Java,0,1,13,27,No Releases,24237
EventBus,3,1,9,6667,1848,2012-07-16 16:55:40 +0000 UTC,2022-09-13 09:28:16 +0000 UTC,Java,7,31,104,465,No Releases,24093
canal,5,1,75,106952,19795,2013-01-13 10:59:52 +0000 UTC,2022-09-13 14:12:40 +0000 UTC,Java,25,396,778,3014,No Releases,24039
nacos,5,1,23,203264,72621,2018-06-15 06:49:27 +0000 UTC,2022-09-13 16:37:02 +0000 UTC,Java,47,2033,443,5708,No Releases,23891
hutool,3,1,113,132525,104377,2014-04-13 07:23:51 +0000 UTC,2022-09-13 13:19:42 +0000 UTC,Java,120,309,7,1951,No Releases,23881
toBeTopJavaer,0,0,0,12514,6,2018-10-25 09:54:54 +0000 UTC,2022-09-13 14:08:44 +0000 UTC,Java,0,52,52,63,No Releases,23840
SmartRefreshLayout,6,1,27,29301,5237,2017-06-02 09:52:50 +0000 UTC,2022-09-13 16:22:31 +0000 UTC,Java,10,6,248,1197,No Releases,23801
spring-cloud-alibaba,6,1,18,31631,8205,2017-12-01 20:49:15 +0000 UTC,2022-09-13 16:20:38 +0000 UTC,Java,28,627,371,1463,No Releases,23592
halo,7,1,16,40083,13196,2018-03-21 12:56:52 +0000 UTC,2022-09-13 16:20:31 +0000 UTC,Java,87,660,172,1330,No Releases,23519
BaseRecyclerViewAdapterHelper,4,1,4,10560,2158,2016-04-10 07:40:11 +0000 UTC,2022-09-13 07:42:05 +0000 UTC,Java,193,191,500,2902,No Releases,23100
kafka,7,1,40,729422,178811,2011-08-15 18:06:16 +0000 UTC,2022-09-13 18:22:01 +0000 UTC,Java,0,5773,0,0,No Releases,23051
Hystrix,3,1,20,54569,17332,2012-11-19 20:14:46 +0000 UTC,2022-09-13 18:10:36 +0000 UTC,Java,79,672,340,681,No Releases,22912
seata,7,2,785,211092,71799,2018-12-28 08:37:22 +0000 UTC,2022-09-13 11:08:24 +0000 UTC,Java,33,1534,632,2179,No Releases,22790
