Repository,CBO,DIT,LCOM,Code Lines,Comment Lines,CreatedAt,UpdatedAt,PrimaryLanguage,Releases,PullRequests,Open Issues,Closed Issues,LastRelease,Stars
CtCI-6th-Edition,2,1,4,10023051,1277,2015-07-02 06:28:46 +0000 UTC,2022-09-13 08:46:47 +0000 UTC,Java,0,42,46,21,No Releases,10207
ViewPagerIndicator,6,2,29,4366,736,2011-08-04 17:13:44 +0000 UTC,2022-09-09 11:57:17 +0000 UTC,Java,0,21,135,146,No Releases,10200
SmarterStreaming,3,1,71,18346,5091,2016-03-26 14:46:02 +0000 UTC,2022-09-11 07:51:31 +0000 UTC,Java,0,0,4,114,No Releases,10194
MVPArms,6,1,32,8377,5011,2016-08-06 08:49:56 +0000 UTC,2022-09-08 03:44:44 +0000 UTC,Java,25,33,43,280,No Releases,10189
dex2jar,5,1,19,38309,6387,2015-03-16 09:13:07 +0000 UTC,2022-09-13 07:45:16 +0000 UTC,Java,6,11,371,150,No Releases,10151
grpc-java,5,1,12,252848,68830,2014-12-08 19:00:00 +0000 UTC,2022-09-13 14:50:45 +0000 UTC,Java,115,5618,460,2498,No Releases,10026
Auto,5,1,49,44160,10748,2013-05-22 21:41:56 +0000 UTC,2022-09-13 13:48:19 +0000 UTC,Java,55,493,65,384,No Releases,9851
zaproxy,4,1,66,427345,80733,2015-06-03 16:55:01 +0000 UTC,2022-09-13 15:10:42 +0000 UTC,Java,282,2815,708,3744,No Releases,9823
javapoet,4,1,129,11068,1309,2013-02-01 16:56:30 +0000 UTC,2022-09-13 04:18:49 +0000 UTC,Java,0,335,86,312,No Releases,9797
Fragmentation,5,1,15,11498,1757,2016-02-23 08:54:55 +0000 UTC,2022-09-09 02:33:08 +0000 UTC,Java,30,31,190,1033,No Releases,9730
glide-transformations,5,2,2,2385,522,2015-01-09 10:33:29 +0000 UTC,2022-09-13 08:45:48 +0000 UTC,Java,0,34,50,105,No Releases,9700
jsoup,5,1,172,27013,5954,2009-12-19 01:29:58 +0000 UTC,2022-09-13 02:46:26 +0000 UTC,Java,8,197,71,1231,No Releases,9698
cas,9,1,7,443795,91884,2011-09-09 01:36:42 +0000 UTC,2022-09-13 14:59:52 +0000 UTC,Java,230,3443,0,0,No Releases,9694
clojure,3,1,133,75576,14559,2010-06-29 20:03:33 +0000 UTC,2022-09-13 18:31:17 +0000 UTC,Java,0,1,0,0,No Releases,9654
AVLoadingIndicatorView,3,1,6,2745,232,2015-10-24 20:18:33 +0000 UTC,2022-09-12 22:11:20 +0000 UTC,Java,1,8,65,37,No Releases,9653
android-Ultra-Pull-To-Refresh,4,1,19,7992,783,2014-11-13 03:13:10 +0000 UTC,2022-09-09 14:07:29 +0000 UTC,Java,8,19,150,146,No Releases,9643
Android-ObservableScrollView,5,1,7,19059,4263,2014-11-08 14:45:20 +0000 UTC,2022-09-06 14:03:00 +0000 UTC,Java,0,18,175,88,No Releases,9616
onedev,5,1,16,368834,20486,2018-11-06 02:57:01 +0000 UTC,2022-09-13 07:31:22 +0000 UTC,Java,184,4,0,0,No Releases,9613
easypermissions,8,1,12,3049,490,2015-12-22 18:05:53 +0000 UTC,2022-09-12 17:07:33 +0000 UTC,Java,12,90,25,202,No Releases,9550
paascloud-master,6,1,5,32625,23263,2018-03-17 05:40:43 +0000 UTC,2022-09-13 03:43:05 +0000 UTC,Java,0,3,81,42,No Releases,9442
AndroidSlidingUpPanel,4,1,132,2799,980,2013-05-31 18:33:53 +0000 UTC,2022-09-13 04:38:29 +0000 UTC,Java,8,81,264,558,No Releases,9428
PocketHub,6,1,9,31526,9317,2011-09-08 16:52:50 +0000 UTC,2022-09-11 08:57:24 +0000 UTC,Java,1,379,124,536,No Releases,9422
spark,4,1,47,12267,6684,2011-05-05 11:52:05 +0000 UTC,2022-09-13 07:34:04 +0000 UTC,Java,0,270,190,547,No Releases,9358
spark,4,1,47,12267,6684,2011-05-05 11:52:05 +0000 UTC,2022-09-13 07:34:04 +0000 UTC,Java,0,270,190,547,No Releases,9358
DanmakuFlameMaster,5,1,47,12768,1564,2013-08-11 12:18:50 +0000 UTC,2022-09-13 15:13:21 +0000 UTC,Java,5,41,251,154,No Releases,9337
mall-swarm,3,1,1093,132425,3520,2019-11-25 06:55:31 +0000 UTC,2022-09-13 15:58:17 +0000 UTC,Java,2,0,26,77,No Releases,9335
Mycat-Server,4,1,78,107002,31911,2014-12-04 02:46:54 +0000 UTC,2022-09-12 09:12:58 +0000 UTC,Java,7,991,914,787,No Releases,9315
Java-WebSocket,3,1,34,30860,7562,2010-01-20 23:33:04 +0000 UTC,2022-09-13 17:02:17 +0000 UTC,Java,14,277,29,884,No Releases,9299
newbee-mall,5,1,34,155713,17766,2019-09-21 03:56:04 +0000 UTC,2022-09-13 14:56:54 +0000 UTC,Java,0,3,2,52,No Releases,9251
MagicIndicator,5,1,26,5323,328,2016-06-26 08:20:43 +0000 UTC,2022-09-11 06:56:14 +0000 UTC,Java,12,5,179,98,No Releases,9244
android-interview-questions,0,1,0,953,0,2017-07-09 18:47:24 +0000 UTC,2022-09-13 19:16:51 +0000 UTC,Java,0,71,13,16,No Releases,9212
android-gif-drawable,6,1,58,8167,2076,2013-01-30 01:37:46 +0000 UTC,2022-09-13 09:04:31 +0000 UTC,Java,57,111,36,623,No Releases,9181
spring-boot-api-project-seed,5,1,9,906,102,2017-06-23 10:06:30 +0000 UTC,2022-09-13 02:05:32 +0000 UTC,Java,4,1,92,104,No Releases,9163
questdb,5,1,186,585751,97789,2014-04-28 23:29:15 +0000 UTC,2022-09-13 19:19:22 +0000 UTC,Java,54,1329,280,666,No Releases,9154
MaterialDesignLibrary,4,1,6,5613,649,2014-09-30 07:37:17 +0000 UTC,2022-09-12 15:11:21 +0000 UTC,Java,3,20,215,119,No Releases,9075
JsBridge,4,1,13,1627,256,2015-02-26 12:10:58 +0000 UTC,2022-09-13 11:00:10 +0000 UTC,Java,0,27,137,87,No Releases,9075
OpenRefine,6,1,10,549807,40684,2012-10-15 02:22:48 +0000 UTC,2022-09-13 15:09:09 +0000 UTC,Java,37,2075,648,2008,No Releases,8984
Activiti,5,1,92,272865,67811,2012-09-13 11:34:43 +0000 UTC,2022-09-13 12:13:07 +0000 UTC,Java,34,1404,412,1653,No Releases,8940
jvm,0,1,0,1042,3,2018-06-23 01:12:59 +0000 UTC,2022-09-13 09:24:52 +0000 UTC,Java,0,13,11,4,No Releases,8898
VirtualApp,3,2,15,66761,9872,2016-07-06 13:25:23 +0000 UTC,2022-09-13 14:19:04 +0000 UTC,Java,0,141,0,0,No Releases,8896
storm,4,1,33,411638,80399,2011-09-17 07:55:13 +0000 UTC,2022-09-09 13:06:42 +0000 UTC,Java,0,144,0,0,No Releases,8895
DSA-Bootcamp-Java,1,1,2,7338,783,2021-07-30 12:23:25 +0000 UTC,2022-09-13 19:11:24 +0000 UTC,Java,0,230,11,94,No Releases,8821
StatusBarUtil,4,1,22,2315,392,2016-02-15 03:06:06 +0000 UTC,2022-09-13 02:12:51 +0000 UTC,Java,0,6,106,179,No Releases,8781
Android-PullToRefresh,6,2,55,4576,1674,2011-11-29 09:59:56 +0000 UTC,2022-09-09 14:06:48 +0000 UTC,Java,0,30,0,0,No Releases,8757
VirtualAPK,4,1,17,12797,2369,2017-06-29 07:25:05 +0000 UTC,2022-09-13 08:36:10 +0000 UTC,Java,4,9,109,249,No Releases,8739
AndroidNote,4,1,8,8878,104,2016-01-04 23:51:36 +0000 UTC,2022-09-13 11:59:20 +0000 UTC,Java,0,11,49,52,No Releases,8710
dolphinscheduler,6,1,30,257606,78006,2019-03-01 16:39:25 +0000 UTC,2022-09-13 18:00:15 +0000 UTC,Java,29,4966,901,4525,No Releases,8674
AgentWeb,5,1,18,13289,2986,2017-05-12 07:45:56 +0000 UTC,2022-09-13 07:46:33 +0000 UTC,Java,19,10,75,918,No Releases,8642
CoreNLP,5,1,142,687828,134312,2013-06-27 21:13:49 +0000 UTC,2022-09-13 13:55:31 +0000 UTC,Java,10,95,161,864,No Releases,8625
testing-samples,6,1,3,9193,4819,2014-10-11 03:51:27 +0000 UTC,2022-09-13 06:34:57 +0000 UTC,Java,0,156,76,121,No Releases,8614
Calligraphy,5,1,11,1920,644,2013-12-20 02:35:45 +0000 UTC,2022-09-13 04:38:22 +0000 UTC,Java,4,67,82,307,No Releases,8613
jjwt,3,2,36,17877,8493,2014-09-13 01:06:24 +0000 UTC,2022-09-13 14:44:40 +0000 UTC,Java,0,174,52,439,No Releases,8555
Android_Data,2,1,3,555,30,2015-04-04 01:37:44 +0000 UTC,2022-09-10 15:39:18 +0000 UTC,Java,0,5,2,5,No Releases,8542
cim,4,1,18,8094,1985,2018-05-20 15:55:56 +0000 UTC,2022-09-13 18:50:08 +0000 UTC,Java,7,22,34,54,No Releases,8524
android-gpuimage,2,2,11,10251,2766,2012-10-04 08:11:58 +0000 UTC,2022-09-13 03:48:35 +0000 UTC,Java,0,70,323,85,No Releases,8491
awesome-java-leetcode,1,1,1,6167,940,2017-04-17 15:51:41 +0000 UTC,2022-09-11 09:54:48 +0000 UTC,Java,0,1,5,21,No Releases,8439
BottomBar,4,1,61,9427,545,2016-03-16 01:31:05 +0000 UTC,2022-09-08 03:04:39 +0000 UTC,Java,4,67,262,480,No Releases,8437
CalendarView,6,2,53,18865,4300,2017-03-11 07:16:09 +0000 UTC,2022-09-13 14:57:24 +0000 UTC,Java,0,8,424,370,No Releases,8415
COLA,4,1,4,12598,2475,2018-02-06 13:46:27 +0000 UTC,2022-09-13 17:47:52 +0000 UTC,Java,9,60,13,212,No Releases,8362
junit4,4,1,12,38019,7592,2009-01-13 03:41:26 +0000 UTC,2022-09-13 03:58:13 +0000 UTC,Java,13,459,109,710,No Releases,8357
feign,4,1,13,40361,8503,2013-06-26 23:28:16 +0000 UTC,2022-09-13 12:59:06 +0000 UTC,Java,24,673,146,710,No Releases,8310
Android-SpinKit,4,3,21,2875,366,2016-03-20 08:40:51 +0000 UTC,2022-09-13 02:54:06 +0000 UTC,Java,0,12,54,19,No Releases,8285
dropwizard,5,1,19,72778,13288,2011-01-19 19:52:29 +0000 UTC,2022-09-13 18:20:33 +0000 UTC,Java,129,3411,15,1453,No Releases,8279
metersphere,5,1,572,434664,12857,2020-02-03 02:06:12 +0000 UTC,2022-09-13 09:39:08 +0000 UTC,Java,160,10212,330,5778,No Releases,8267
resilience4j,6,1,19,67128,24165,2015-06-03 09:21:01 +0000 UTC,2022-09-13 02:49:15 +0000 UTC,Java,29,584,121,865,No Releases,8266
quickstart-android,5,1,4,23606,2893,2016-04-26 17:13:27 +0000 UTC,2022-09-13 09:56:02 +0000 UTC,Java,0,503,26,718,No Releases,8212
MaterialViewPager,4,1,9,3532,456,2015-04-24 17:53:15 +0000 UTC,2022-09-06 16:56:22 +0000 UTC,Java,11,27,180,147,No Releases,8204
cryptomator,8,1,16,42358,5767,2014-02-02 00:43:47 +0000 UTC,2022-09-13 13:49:06 +0000 UTC,Java,133,210,263,1548,No Releases,8189
tech-interview-for-developer,1,1,0,15103,60,2019-06-09 04:42:57 +0000 UTC,2022-09-13 13:31:16 +0000 UTC,Java,0,110,2,34,No Releases,8180
AndResGuard,3,1,22,8766,1398,2015-10-11 11:48:06 +0000 UTC,2022-09-13 09:02:20 +0000 UTC,Java,4,37,147,312,No Releases,8086
atlas,5,1,29,523298,247554,2017-02-28 06:31:43 +0000 UTC,2022-09-13 02:47:04 +0000 UTC,Java,7,32,83,249,No Releases,8075
Android-Debug-Database,4,1,8,5201,1399,2016-11-16 14:20:24 +0000 UTC,2022-09-11 22:39:30 +0000 UTC,Java,12,36,68,93,No Releases,8045
epoxy,7,1,136,94915,15308,2016-08-08 23:05:11 +0000 UTC,2022-09-12 00:45:42 +0000 UTC,Java,70,431,266,570,No Releases,7999
airbyte,7,1,29,1169075,62894,2020-07-27 23:55:54 +0000 UTC,2022-09-13 09:10:18 +0000 UTC,Java,262,7085,2634,5281,No Releases,7947
hsweb-framework,6,1,9,30525,6127,2016-01-18 03:51:39 +0000 UTC,2022-09-13 07:21:20 +0000 UTC,Java,25,52,4,127,No Releases,7907
material-theme-jetbrains,4,2,84,89138,10557,2015-09-23 07:15:04 +0000 UTC,2022-09-11 18:41:45 +0000 UTC,Java,17,69,1,1773,No Releases,7898
SimianArmy,5,1,25,20412,9210,2012-07-06 22:00:05 +0000 UTC,2022-09-12 03:22:02 +0000 UTC,Java,4,191,39,67,No Releases,7894
HomeMirror,2,1,5,2587,702,2015-08-23 03:20:08 +0000 UTC,2022-09-13 17:49:10 +0000 UTC,Java,0,11,32,21,No Releases,7891
LitePal,5,1,49,17449,12045,2013-02-20 03:20:07 +0000 UTC,2022-09-13 04:38:35 +0000 UTC,Java,0,1,71,725,No Releases,7881
Jetpack-MVVM-Best-Practice,4,1,15,7443,2427,2019-10-31 05:21:01 +0000 UTC,2022-09-13 13:29:07 +0000 UTC,Java,0,66,2,48,No Releases,7861
hugo,5,1,27,1202,30,2013-11-25 09:16:40 +0000 UTC,2022-09-11 09:21:33 +0000 UTC,Java,0,24,53,66,No Releases,7841
Signal-Server,6,1,11,51784,3478,2013-12-09 07:10:36 +0000 UTC,2022-09-13 18:47:27 +0000 UTC,Java,0,20,0,0,No Releases,7814
react-native-image-picker,5,1,35,3612,320,2015-06-08 20:25:31 +0000 UTC,2022-09-13 12:23:21 +0000 UTC,Java,108,248,131,1341,No Releases,7723
RxLifecycle,6,1,1,4615,1002,2015-07-20 13:32:23 +0000 UTC,2022-09-13 11:57:48 +0000 UTC,Java,22,131,1,177,No Releases,7710
shardingsphere-elasticjob,5,1,4,58879,18735,2015-09-11 11:28:52 +0000 UTC,2022-09-13 10:54:39 +0000 UTC,Java,27,784,119,1048,No Releases,7680
SpringCloud,6,1,2,16141,1881,2017-07-23 14:28:08 +0000 UTC,2022-09-13 18:01:19 +0000 UTC,Java,0,81,40,81,No Releases,7658
tsunami-security-scanner,6,1,12,14611,4983,2020-06-03 16:20:00 +0000 UTC,2022-09-13 19:11:41 +0000 UTC,Java,14,6,30,39,No Releases,7655
metrics,5,1,9,39088,6300,2010-02-26 19:44:42 +0000 UTC,2022-09-13 12:12:36 +0000 UTC,Java,92,1557,9,630,No Releases,7621
QtScrcpy,4,1,22,13046,802,2019-06-23 04:12:17 +0000 UTC,2022-09-13 16:13:09 +0000 UTC,Java,26,82,265,278,No Releases,7576
UltimateAndroidReference,1,1,0,633,0,2017-04-10 07:28:27 +0000 UTC,2022-09-13 15:57:34 +0000 UTC,Java,0,60,0,12,No Releases,7560
RxJava-Android-Samples,6,1,9,5677,273,2014-07-23 05:13:52 +0000 UTC,2022-09-05 12:55:41 +0000 UTC,Java,0,42,5,49,No Releases,7541
languagetool,5,1,48,2638990,98733,2013-08-08 16:37:22 +0000 UTC,2022-09-13 19:19:58 +0000 UTC,Java,0,1890,1611,3024,No Releases,7526
cassandra,6,1,60,980602,149048,2009-05-21 02:10:09 +0000 UTC,2022-09-13 10:59:18 +0000 UTC,Java,0,24,0,0,No Releases,7519
kkFileView,5,1,38,1456066,120274,2017-12-12 11:41:08 +0000 UTC,2022-09-13 13:32:05 +0000 UTC,Java,10,138,151,50,No Releases,7442
litho,7,1,39,634570,125466,2017-01-27 03:59:11 +0000 UTC,2022-09-13 06:20:58 +0000 UTC,Java,49,51,78,302,No Releases,7426
debezium,7,1,54,242486,45535,2016-01-22 20:17:05 +0000 UTC,2022-09-13 18:15:18 +0000 UTC,Java,0,3098,0,0,No Releases,7421
jna,4,2,43,161695,118528,2011-04-29 13:30:29 +0000 UTC,2022-09-13 11:52:49 +0000 UTC,Java,0,552,70,641,No Releases,7388
subsampling-scale-image-view,5,1,79,14926,2688,2013-08-26 16:45:25 +0000 UTC,2022-09-13 13:32:03 +0000 UTC,Java,21,30,31,477,No Releases,7374
otter,4,1,32,92126,30933,2013-08-09 09:31:22 +0000 UTC,2022-09-13 09:36:43 +0000 UTC,Java,10,43,294,716,No Releases,7349
hellocharts-android,6,1,40,11536,1917,2014-10-12 09:12:37 +0000 UTC,2022-09-11 13:46:24 +0000 UTC,Java,14,22,281,226,No Releases,7346
AndroidPdfViewer,4,1,76,4123,1082,2016-06-02 20:21:21 +0000 UTC,2022-09-13 02:55:37 +0000 UTC,Java,0,23,601,432,No Releases,7338
vjtools,3,1,26,23789,6223,2018-05-29 09:07:08 +0000 UTC,2022-09-13 10:15:40 +0000 UTC,Java,9,32,33,108,No Releases,7318
JsonPath,4,1,28,73238,3494,2011-01-24 13:19:19 +0000 UTC,2022-09-13 13:59:24 +0000 UTC,Java,8,211,242,282,No Releases,7304
MyBookshelf,6,1,58,73947,7137,2018-06-12 03:48:07 +0000 UTC,2022-09-13 16:33:55 +0000 UTC,Java,165,156,230,172,No Releases,7299
dagger,3,1,5,11399,3666,2012-08-02 23:25:32 +0000 UTC,2022-09-09 13:06:43 +0000 UTC,Java,0,245,59,208,No Releases,7297
dataease,6,1,25,297327,10084,2021-02-02 04:10:21 +0000 UTC,2022-09-13 16:43:32 +0000 UTC,Java,35,1960,102,956,No Releases,7292
AndroidAsync,3,1,19,17565,3174,2012-08-24 07:27:04 +0000 UTC,2022-09-13 10:14:55 +0000 UTC,Java,0,91,331,235,No Releases,7288
agera,6,1,14,15197,5085,2015-12-17 13:22:58 +0000 UTC,2022-09-09 11:58:32 +0000 UTC,Java,16,94,4,46,No Releases,7265
Android-Bootstrap,6,1,31,17612,997,2013-11-01 15:36:17 +0000 UTC,2022-09-13 04:38:30 +0000 UTC,Java,5,48,25,132,No Releases,7263
EhViewer,7,1,45,58681,12117,2014-05-14 12:03:52 +0000 UTC,2022-09-13 15:21:21 +0000 UTC,Java,97,57,197,400,No Releases,7259
sweet-alert-dialog,4,1,31,2116,58,2014-10-19 09:24:09 +0000 UTC,2022-09-12 13:39:01 +0000 UTC,Java,2,2,144,48,No Releases,7255
UltimateRecyclerView,5,1,41,18774,5234,2015-01-28 02:27:45 +0000 UTC,2022-09-09 13:44:33 +0000 UTC,Java,9,82,183,207,No Releases,7237
ShortcutBadger,5,1,3,1867,302,2013-11-15 12:51:52 +0000 UTC,2022-09-12 16:18:33 +0000 UTC,Java,0,47,172,131,No Releases,7216
TakePhoto,5,1,10,4101,856,2015-08-04 02:05:32 +0000 UTC,2022-09-08 02:25:18 +0000 UTC,Java,15,8,421,140,No Releases,7202
spider-flow,5,1,20,105058,38414,2020-03-27 11:07:15 +0000 UTC,2022-09-13 08:44:53 +0000 UTC,Java,2,6,1,26,No Releases,7180
WeChatLuckyMoney,5,1,8,2599,155,2015-09-30 16:11:20 +0000 UTC,2022-09-13 02:18:37 +0000 UTC,Java,20,39,0,0,No Releases,7154
android-classyshark,3,1,10,10293,2543,2015-10-12 13:40:48 +0000 UTC,2022-09-12 12:02:12 +0000 UTC,Java,17,97,38,65,No Releases,7150
sonarqube,6,1,23,749574,207925,2011-01-05 11:05:17 +0000 UTC,2022-09-13 11:50:11 +0000 UTC,Java,31,2187,0,0,No Releases,7145
ActionBarSherlock,6,1,63,34585,13374,2011-03-07 17:28:54 +0000 UTC,2022-09-11 08:57:24 +0000 UTC,Java,32,84,85,797,No Releases,7141
supertokens-core,8,1,42,46256,7831,2020-01-05 13:30:52 +0000 UTC,2022-09-13 17:15:47 +0000 UTC,Java,14,138,74,261,No Releases,7115
spring-security,6,1,10,355560,122678,2012-01-10 21:50:57 +0000 UTC,2022-09-13 18:00:52 +0000 UTC,Java,113,952,752,9026,No Releases,7089
MVVMHabit,3,1,15,11618,3576,2017-07-21 10:38:40 +0000 UTC,2022-09-13 07:49:39 +0000 UTC,Java,3,0,5,89,No Releases,7080
shenyu,5,1,12,147138,87629,2018-07-11 08:17:45 +0000 UTC,2022-09-13 15:08:28 +0000 UTC,Java,7,1999,142,1441,No Releases,7075
algs4,4,1,43,22431,27140,2015-08-31 09:28:49 +0000 UTC,2022-09-13 18:44:20 +0000 UTC,Java,0,7,12,48,No Releases,7064
swagger-core,4,1,42,74784,5267,2011-07-05 23:44:11 +0000 UTC,2022-09-13 12:35:45 +0000 UTC,Java,76,1124,648,2056,No Releases,7047
RePlugin,5,1,31,34721,19902,2017-06-08 09:39:09 +0000 UTC,2022-09-13 01:06:21 +0000 UTC,Java,17,142,327,527,No Releases,7021
SpringCloud-Learning,5,1,28,8472,776,2016-08-21 03:39:52 +0000 UTC,2022-09-11 15:26:14 +0000 UTC,Java,0,2,15,11,No Releases,7008
SmartTabLayout,6,1,9,3630,719,2015-02-14 11:25:51 +0000 UTC,2022-09-13 13:17:21 +0000 UTC,Java,0,15,120,164,No Releases,6999
Mapper,4,1,28,24775,12064,2014-11-21 11:02:10 +0000 UTC,2022-09-12 08:42:45 +0000 UTC,Java,2,29,352,426,No Releases,6946
SmartTubeNext,6,1,65,70214,8482,2020-07-28 12:53:52 +0000 UTC,2022-09-13 18:24:06 +0000 UTC,Java,77,519,980,259,No Releases,6910
leetcode,2,1,0,4342,386,2020-01-11 01:02:02 +0000 UTC,2022-09-13 13:36:26 +0000 UTC,Java,0,1,0,5,No Releases,6881
okhttputils,3,1,6,3816,381,2015-08-17 14:53:29 +0000 UTC,2022-09-11 21:07:50 +0000 UTC,Java,0,9,0,0,No Releases,6866
ruoyi-vue-pro,7,1,5,240212,54229,2021-01-24 03:18:25 +0000 UTC,2022-09-13 18:38:17 +0000 UTC,Java,12,16,8,134,No Releases,6815
im-server,6,1,117,92477,18221,2019-01-23 15:21:28 +0000 UTC,2022-09-13 10:08:22 +0000 UTC,Java,72,7,9,480,No Releases,6802
elasticsearch-sql,9,1,315,137520,13583,2014-08-24 14:26:31 +0000 UTC,2022-09-13 17:07:07 +0000 UTC,Java,193,93,287,649,No Releases,6754
Timber,5,1,19,27106,3491,2015-06-12 16:43:55 +0000 UTC,2022-09-13 04:38:10 +0000 UTC,Java,5,89,189,134,No Releases,6747
DroidPlugin,3,4,3,27977,6736,2015-08-27 11:14:57 +0000 UTC,2022-09-13 08:50:45 +0000 UTC,Java,2,28,222,188,No Releases,6743
xmall,4,1,632,215517,30261,2017-07-28 01:49:49 +0000 UTC,2022-09-13 07:40:01 +0000 UTC,Java,0,0,11,28,No Releases,6731
flyway,5,1,33,41701,15842,2012-12-14 18:43:22 +0000 UTC,2022-09-13 13:11:10 +0000 UTC,Java,156,184,67,2950,No Releases,6713
AndroidAutoLayout,5,2,8,4670,337,2015-11-19 02:09:11 +0000 UTC,2022-09-06 08:36:21 +0000 UTC,Java,0,2,0,0,No Releases,6690
VBlog,4,1,29,17086,362,2017-12-26 11:01:55 +0000 UTC,2022-09-13 03:18:16 +0000 UTC,Java,0,1,50,20,No Releases,6682
Paper,5,1,11,161149,38402,2016-01-22 05:40:19 +0000 UTC,2022-09-13 18:50:44 +0000 UTC,Java,1,1917,243,4857,No Releases,6676
plantuml,7,1,41,238549,118969,2010-11-04 15:55:50 +0000 UTC,2022-09-13 16:14:37 +0000 UTC,Java,14,257,510,223,No Releases,6673
XPopup,4,1,22,14159,2170,2018-12-07 06:16:48 +0000 UTC,2022-09-11 14:54:08 +0000 UTC,Java,199,2,15,992,No Releases,6658
yudao-cloud,6,1,4,91661,32141,2019-05-02 16:06:49 +0000 UTC,2022-09-13 14:47:55 +0000 UTC,Java,0,7,1,38,No Releases,6610
closure-compiler,6,1,1289,518407,411118,2014-04-16 15:30:36 +0000 UTC,2022-09-12 09:22:36 +0000 UTC,Java,0,395,855,1972,No Releases,6597
angel,7,1,65,295116,61306,2017-04-25 05:57:43 +0000 UTC,2022-09-13 08:37:31 +0000 UTC,Java,19,489,117,484,No Releases,6590
gocd,7,1,37,795215,125676,2013-12-13 05:26:16 +0000 UTC,2022-09-13 15:56:33 +0000 UTC,Java,72,5969,43,3272,No Releases,6580
Shadow,4,1,17,37352,10839,2019-06-13 10:50:27 +0000 UTC,2022-09-13 06:37:08 +0000 UTC,Java,5,243,215,535,No Releases,6577
AndPermission,3,1,7,5585,2657,2016-09-11 05:17:34 +0000 UTC,2022-09-09 01:40:05 +0000 UTC,Java,0,9,167,490,No Releases,6567
FrameworkBenchmarks,4,1,3,201560,31893,2013-03-22 17:33:54 +0000 UTC,2022-09-12 08:48:07 +0000 UTC,Java,15,5327,96,1101,No Releases,6562
LSPosed,5,1,49,37011,9276,2020-12-12 08:39:37 +0000 UTC,2022-09-13 17:10:45 +0000 UTC,Java,33,1284,6,435,No Releases,6513
walle,3,1,8,5960,3281,2017-01-10 03:39:25 +0000 UTC,2022-09-13 13:07:54 +0000 UTC,Java,1,34,101,240,No Releases,6481
react-native-push-notification,6,1,15,5505,432,2015-12-14 19:53:36 +0000 UTC,2022-09-13 18:20:58 +0000 UTC,Java,35,178,229,1722,No Releases,6459
jmeter,5,2,62,331036,82876,2010-05-26 23:38:07 +0000 UTC,2022-09-13 16:46:33 +0000 UTC,Java,0,136,0,0,No Releases,6433
AndroidPerformanceMonitor,4,1,14,3533,732,2016-01-17 05:23:22 +0000 UTC,2022-09-13 08:51:15 +0000 UTC,Java,0,24,48,65,No Releases,6431
nanohttpd,4,1,22,9596,3791,2012-08-10 21:52:42 +0000 UTC,2022-09-13 09:11:57 +0000 UTC,Java,3,115,149,267,No Releases,6401
Toasty,4,1,56,1216,133,2017-01-18 18:52:41 +0000 UTC,2022-09-13 07:36:49 +0000 UTC,Java,19,26,45,108,No Releases,6390
storm,4,1,33,411638,80399,2013-11-05 08:00:14 +0000 UTC,2022-09-13 07:31:38 +0000 UTC,Java,0,2659,0,0,No Releases,6386
android-floating-action-button,5,1,48,1834,88,2014-09-19 06:49:21 +0000 UTC,2022-08-30 12:31:31 +0000 UTC,Java,0,25,132,176,No Releases,6380
RoundedImageView,8,1,107,2173,334,2013-02-22 01:17:37 +0000 UTC,2022-09-12 17:01:50 +0000 UTC,Java,19,28,31,192,No Releases,6345
datahub,9,1,13,613706,32802,2015-11-18 05:47:40 +0000 UTC,2022-09-13 14:06:26 +0000 UTC,Java,62,4189,128,1135,No Releases,6327
testcontainers-java,5,1,21,41060,6608,2015-04-12 12:44:59 +0000 UTC,2022-09-13 17:39:30 +0000 UTC,Java,58,2711,418,1374,No Releases,6317
mybatis-generator-gui,7,1,69,4411,262,2016-05-08 22:39:39 +0000 UTC,2022-09-13 00:23:54 +0000 UTC,Java,16,33,102,168,No Releases,6302
ion,4,1,23,11133,2314,2013-05-22 07:41:23 +0000 UTC,2022-09-12 23:45:19 +0000 UTC,Java,0,52,328,553,No Releases,6302
karate,5,1,87,68986,10969,2017-02-07 15:59:17 +0000 UTC,2022-09-13 16:06:12 +0000 UTC,Java,46,283,35,1677,No Releases,6300
react-native-video,6,1,126,14627,1045,2015-03-31 05:08:38 +0000 UTC,2022-09-13 17:57:41 +0000 UTC,Java,7,364,77,2150,No Releases,6295
react-native-svg,6,2,83,43183,5056,2016-01-17 14:29:21 +0000 UTC,2022-09-12 10:42:10 +0000 UTC,Java,83,301,296,1104,No Releases,6290
tomcat,4,1,175,493459,197072,2011-10-01 07:00:19 +0000 UTC,2022-09-12 06:38:12 +0000 UTC,Java,0,117,0,0,No Releases,6259
processing,3,1,507,142083,54409,2013-01-24 21:17:22 +0000 UTC,2022-09-13 11:11:42 +0000 UTC,Java,48,731,485,4648,No Releases,6248
graylog2-server,7,1,17,439656,103958,2010-05-17 21:27:02 +0000 UTC,2022-09-13 15:03:33 +0000 UTC,Java,0,5931,1340,4656,No Releases,6240
haven,6,1,11,21810,3534,2017-03-01 03:20:03 +0000 UTC,2022-09-11 14:26:04 +0000 UTC,Java,37,129,135,155,No Releases,6237
SDE-Interview-Questions,0,1,0,2553,0,2017-10-25 11:08:52 +0000 UTC,2022-09-13 13:25:53 +0000 UTC,Java,1,90,0,15,No Releases,6214
