Repository,CBO,DIT,LCOM,Code Lines,Comment Lines
mapstruct,3,1,11,119905,35686
material,6,1,54,29337,4313
material-calendarview,6,1,69,6418,1263
material-components-android,7,1,75,151861,62586
material-theme-jetbrains,4,2,84,89138,10557
maven,5,1,84,127369,41737
maxwell,6,1,31,27094,1692
metersphere,5,1,572,434664,12857
metrics,5,1,9,39088,6300
miaosha,4,1,14,139263,20190
micrometer,6,1,18,69358,30029
micronaut-core,5,1,41,298480,124861
microservices-platform,5,1,8,59062,11251
migration,1,1,0,27072,193
mit-deep-learning-book-pdf,0,1,0,41,0
mockito,3,1,18,72185,21038
mockserver,7,1,92,194164,15474
moco,5,1,34,28925,195
mosby,5,1,9,24490,10832
motan,5,1,32,113016,46225
mpush,4,1,24,18999,8918
mybatis,3,1,21,78082,24563
mybatis-3,3,1,21,107029,32755
mybatis-generator-gui,7,1,69,4411,262
mybatis-plus,5,1,25,26360,14969
nacos,5,1,23,203264,72621
nanohttpd,4,1,22,9596,3791
native-navigation,5,1,29,12699,1201
neo4j,6,1,37,1037573,256352
netty,4,1,67,338744,111039
netty-learning,5,1,39,75410,39690
netty-socketio,5,1,29,7112,2617
network-connection-class,3,1,4,1169,249
newbee-mall,5,1,34,155713,17766
nifi,6,1,47,1148279,291190
novel,4,1,21,8577,3459
objectbox-java,5,1,85,24171,9676
okdownload,6,1,35,29582,7544
okhttp-OkGo,5,1,19,16737,6594
okhttputils,3,1,6,3816,381
onedev,5,1,16,368834,20486
open-location-code,4,1,4,16444,4069
openapi-generator,5,1,95,2084445,523557
opengrok,5,1,76,135525,51237
opentsdb,7,1,65,117154,28579
orientdb,6,1,298,795742,79026
oshi,5,1,27,41730,24184
otter,4,1,32,92126,30933
otto,2,1,3,2958,948
paascloud-master,6,1,5,32625,23263
packer-ng-plugin,2,1,18,4730,808
parceler,4,1,16,11320,3438
pentaho-kettle,5,1,77,1518773,257833
physical-web,4,1,26,18031,5342
picocli,3,1,61,453243,55450
pig,6,1,20,87857,18876
piggymetrics,6,1,3,19942,426
pinot,6,1,41,740859,120506
pinpoint,5,1,17,469362,121385
pixel-dungeon,5,2,12,41331,8690
plantuml,7,1,41,238549,118969
pmd,5,2,58,378220,51195
poi-tl,6,1,91,27778,6378
powermock,3,1,22,40331,20503
presto,8,1,66,1205218,178114
processing,3,1,507,142083,54409
proxyee-down,5,1,19,7824,451
pulsar,6,1,79,1626678,157210
quarkus,5,1,21,1003602,104149
quartz,5,1,86,61037,31982
quasar,3,1,35,183053,47652
querydsl,5,1,42,136795,45014
questdb,5,1,186,585751,97789
quickstart-android,5,1,4,23606,2893
rabbitmq-tutorials,4,1,2,21611,1363
react-native-fbsdk,7,1,11,4387,2631
react-native-image-picker,5,1,35,3612,320
react-native-push-notification,6,1,15,5505,432
react-native-share,5,2,9,7433,724
react-native-splash-screen,3,1,2,1856,281
react-native-svg,6,2,83,43183,5056
react-native-video,6,1,126,14627,1045
react-native-webrtc,5,1,8,18004,1537
reactive-streams-jvm,3,1,20,10663,2616
realm-java,4,1,51,196288,40920
rebound,4,1,34,5012,1422
red5-server,5,1,45,71887,40885
redisson,5,1,154,189595,63448
reflections,2,1,13,5960,1038
rejoiner,6,1,4,9194,1818
remusic,5,1,41,49963,7554
requery,5,1,26,35832,11797
resilience4j,6,1,19,67128,24165
rest-assured,5,1,103,54160,30079
retrofit,4,1,16,30272,5962
retrolambda,2,1,9,7942,633
ribbon,4,1,13,24203,7410
richeditor-android,2,1,46,2365,294
ripme,4,2,28,25684,2666
roboguice,4,1,7,170326,24537
robolectric,5,1,61,220144,29475
robospice,4,2,14,20764,3691
rocketmq,6,1,80,192721,37085
rocketmq-externals,5,1,16,1110241,173412
roncoo-pay,5,1,62,309309,61605
rstudio,5,1,310,1073253,225547
runelite,5,1,35,288610,60441
ruoyi-vue-pro,7,1,5,240212,54229
scribejava,4,1,10,16830,1650
seata,7,2,785,211092,71799
selenium,5,1,32,822876,284513
serve,5,1,51,60536,7345
shardingsphere,6,1,22,477468,184747
shardingsphere-elasticjob,5,1,4,58879,18735
shenyu,5,1,12,147138,87629
shimmer-android,8,1,18,1794,182
shiro,4,1,21,50536,42932
shopizer,7,1,34,86081,13059
shopping-management-system,3,1,76,27794,3038
simplify,8,1,20,24403,1456
skywalking,5,1,4,160509,48462
smali,6,1,15,51027,26104
small-spring,3,1,12,17818,4828
smartTable,5,1,25,15763,3214
smile,5,1,105,938897,86717
socket,1,1,4,6402,228
sodium-fabric,5,1,13,18731,2898
sofa-boot,5,1,19,39726,19925
sofa-jarslink,3,1,2,2809,681
sofa-jraft,6,1,74,115693,37113
sofa-rpc,5,1,25,88363,41410
sonarqube,6,1,23,749574,207925
source-code-hunter,0,0,0,52000,7
spark,4,1,47,12267,6684
spider-flow,5,1,20,105058,38414
spock,5,1,33,65143,18704
spotbugs,4,1,27,275380,76380
spotless,5,1,16,38976,10127
spring-analysis,2,1,1,53430,138
spring-authorization-server,9,1,15,35382,10929
spring-boot,5,1,11,435497,177478
spring-boot-admin,7,1,6,168096,9686
spring-boot-api-project-seed,5,1,9,906,102
spring-boot-demo,5,1,2,44171,8116
spring-boot-examples,4,1,4,15772,322
spring-boot-projects,4,1,9,180125,21349
spring-boot-starter,4,1,4,8479,4189
spring-cloud-alibaba,6,1,18,31631,8205
spring-cloud-examples,3,1,0,3611,65
spring-cloud-gateway,7,1,13,36739,9113
spring-cloud-kubernetes,7,1,7,46170,15954
spring-cloud-netflix,7,1,113,23482,3178
spring-data-examples,2,1,0,133915,16591
spring-framework,5,1,31,817531,377596
spring-mvc-showcase,5,1,9,11390,2066
spring-security,6,1,10,355560,122678
spring-security-oauth,6,1,13,55940,17059
springBoot,5,1,15,21862,4403
springboot-guide,4,1,1,13840,814
springboot-learning-example,4,1,2,6596,1710
springfox,5,1,23,118140,22310
springside4,3,1,24,17449,5362
spruce-android,4,1,5,6293,3209
sqlbrite,4,1,4,4893,1252
stetho,4,1,7,25425,4014
sticky-headers-recyclerview,4,1,3,2037,279
storm,4,1,33,411638,80399
strimzi-kafka-operator,10,1,41,313753,33235
subsampling-scale-image-view,5,1,79,14926,2688
supertokens-core,8,1,42,46256,7831
swagger-core,4,1,42,74784,5267
sweet-alert-dialog,4,1,31,2116,58
tablesaw,6,1,109,1182968,11319
tcc-transaction,5,1,28,44697,3108
tech-interview-for-developer,1,1,0,15103,60
tech-weekly,2,1,2,4890,350
termux-app,5,1,55,29777,10811
testcontainers-java,5,1,21,41060,6608
testing-samples,6,1,3,9193,4819
thingsboard,8,1,18,455229,72976
thumbnailator,3,1,492,21070,18314
ticker,4,1,27,2593,571
tinker,4,1,26,42066,10992
tiny-spring,3,1,2,2364,875
titan,5,1,20,308616,35410
toBeBetterJavaer,0,0,0,88688,173
toBeTopJavaer,0,0,0,12514,6
tomcat,4,1,175,493459,197072
traccar,5,1,5,88419,14755
transmittable-thread-local,5,1,11,11647,3798
tsunami-security-scanner,6,1,12,14611,4983
tutorials,2,1,7,1020214,80408
twoway-view,6,1,86,4015,726
tx-lcn,4,1,6,11163,2856
typedb,8,2,27,60302,10660
u2020,6,1,23,7940,671
uCrop,6,1,28,51514,9186
uid-generator,2,1,11,1759,1060
undertow,5,1,35,152777,47094
usb-serial-for-android,6,1,38,7985,1119
useful-java-links,2,1,1,14589,1465
v9porn,4,1,49,30128,4260
vavr,8,1,1211,74017,35149
vert,6,1,195,156774,33969
vertx-examples,5,1,1,78073,11599
vespa,6,1,35,1737483,189982
vhr,4,1,48,30892,1673
views-widgets-samples,4,1,7,24324,9520
vjtools,3,1,26,23789,6223
vlayout,5,1,72,14088,4323
volley,5,1,12,11364,3996
walle,3,1,8,5960,3281
web3j,4,1,31,65611,10816
webmagic,4,1,12,16232,2509
wechat,5,1,15,36732,4112
wgcloud,6,1,38,482084,71634
wiremock,5,1,56,69045,11935
xUtils3,5,1,27,13320,2070
xboot,7,1,2,17607,5947
xmall,4,1,632,215517,30261
xpay,6,1,93,44322,7203
xxl-job,4,1,20,38750,5167
yanxuan-weex-demo,0,1,2,142267,24908
ysoserial,5,1,8,5148,1001
yudao-cloud,6,1,4,91661,32141
yuicompressor,4,1,88,20717,5693
zaproxy,4,1,66,427345,80733
zeppelin,5,1,42,307316,57893
zfile,6,1,6,16950,3700
zheng,4,1,340,214780,8143
zookeeper,5,1,36,180367,54226
zuul,6,1,26,24503,8860
zxing,4,1,22,166426,41856
zxing-android-embedded,5,1,21,6833,2648
