Repository,CBO,DIT,LCOM,Code Lines,Comment Lines
FlyRefresh,5,1,41,2700,164
FlycoTabLayout,6,1,223,4102,326
ForestBlog,5,1,12,26798,4277
Fragmentation,5,1,15,11498,1757
FrameworkBenchmarks,4,1,3,201560,31893
GCViewer,5,2,46,123446,4235
GDA-android-reversing-Tool,2,1,57,1150,157
GSYVideoPlayer,5,1,58,40564,7035
GT,3,1,13,169546,53876
Gadgetbridge,5,1,49,197679,24063
GalleryFinal,5,1,45,9611,2576
GeekNews,4,1,10,15379,1835
Geyser,7,2,30,71911,23387
GitHub-Chinese-Top-Charts,0,1,0,18452,1
GmsCore,5,1,10,70299,22505
GravitySnapHelper,6,1,57,2324,391
GsonFormat,2,1,54,6593,1817
GuideView,3,1,8,2145,414
Guns,7,1,9,269861,40533
HMCL,6,1,35,83701,14350
HTextView,4,1,3,4664,347
Highlight,4,1,11,1931,528
HikariCP,4,1,193,14750,3585
HomeMirror,2,1,5,2587,702
Hystrix,3,1,20,54569,17332
IDDD_Samples,4,1,27,37399,7711
IJPay,5,1,180,20442,9388
ImagePicker,5,1,23,5208,931
ImmersionBar,6,2,159,13416,3008
InfiniteCycleViewPager,5,1,102,4786,694
InstaMaterial,4,1,9,4354,145
IntelliJ-Key-Promoter-X,5,1,15,2420,650
InternetArchitect,4,1,63,123729,13205
IoT-Technical-Guide,4,1,3,24884,1818
JAViewer,5,1,11,8826,1259
JCSprout,1,1,1,17201,1432
JCTools,4,3,19,39056,10065
JDA,8,1,123,73899,65021
JFoenix,6,1,22,31787,8352
JGrowing,1,1,1,6501,0
JKeyboardPanelSwitch,5,1,7,3957,1063
JS-Sorting-Algorithm,3,1,2,2657,146
JSON-java,2,1,216,15684,6602
JSqlParser,6,1,465,51012,12020
Java,1,1,4,14521,5100
Java-Tutorial,0,1,0,63995,10
Java-WebSocket,3,1,34,30860,7562
Java8InAction,1,1,2,3748,340
JavaBooks,0,1,0,443,0
JavaEETest,3,1,3,161982,10635
JavaGuide,0,0,0,38194,67
Jetpack-MVVM-Best-Practice,4,1,15,7443,2427
JiaoZiVideoPlayer,7,2,56,7550,312
JimuReport,5,1,1,3545,351
JsBridge,4,1,13,1627,256
JsonPath,4,1,28,73238,3494
JustAuth,5,1,13,9954,3037
